Date	Time	---	cm/s
980811	4:28	862	7.82
980811	4:38	862	6.84
980811	4:48	862	8.31
980811	4:58	862	7.33
980811	5:08	862	7.82
980811	5:18	862	9.29
980811	5:28	862	8.8
980811	5:38	862	8.31
980811	5:48	862	6.84
980811	5:58	862	7.82
980811	6:08	862	10.76
980811	6:18	862	8.31
980811	6:28	862	8.31
980811	6:38	862	6.36
980811	6:48	862	3.91
980811	6:58	862	5.38
980811	7:08	862	3.42
980811	7:18	862	1.47
980811	7:28	862	0.49
980811	7:38	862	2.44
980811	7:48	862	2.93
980811	7:58	862	0.98
980811	8:08	862	1.47
980811	8:18	862	4.4
980811	8:28	862	3.42
980811	8:38	862	4.89
980811	8:48	862	5.87
980811	8:58	862	4.89
980811	9:08	862	6.36
980811	9:18	862	3.91
980811	9:28	862	4.89
980811	9:38	862	80.18
980811	9:48	862	194.58
980811	9:58	862	204.85
980811	10:08	862	179.43
980811	10:18	862	142.76
980811	10:28	862	136.4
980811	10:38	862	118.31
980811	10:48	862	121.74
980811	10:58	862	90.94
980811	11:08	862	123.2
980811	11:18	862	78.22
980811	11:28	862	95.82
980811	11:38	862	93.87
980811	11:48	862	106.58
980811	11:58	862	76.76
980811	12:08	862	126.63
980811	12:18	862	86.54
980811	12:28	862	105.6
980811	12:38	862	107.56
980811	12:48	862	124.18
980811	12:58	862	142.76
980811	13:08	862	158.89
980811	13:18	862	155.47
980811	13:28	862	187.74
980811	13:38	862	148.63
980811	13:48	862	153.03
980811	13:58	862	146.18
980811	14:08	862	176
980811	14:18	862	142.27
980811	14:28	862	176.98
980811	14:38	862	7.33
980811	14:48	862	3.42
980811	14:58	862	10.27
980811	15:08	862	10.27
980811	15:18	862	5.38
980811	15:28	862	1.47
980811	15:38	862	2.93
980811	15:48	862	0
980811	15:58	862	1.47
980811	16:08	862	3.42
980811	16:18	862	1.96
980811	16:28	862	2.44
980811	16:38	862	4.4
980811	16:48	862	3.42
980811	16:58	862	4.89
980811	17:08	862	2.93
980811	17:18	862	3.42
